#Switch,Port,Peer-Device,Peer-Port,Blacklist,Comment
#switch,port,peerDevice,peerPort
sw-ib-c2f14-12-01,27,sw-ib-c2f15-25-01,30,0,
sw-ib-c2f14-12-01,28,sw-ib-c2f15-23-01,26,0,
sw-ib-c2f14-12-01,29,sw-ib-c2f15-23-01,28,0,
sw-ib-c2f14-12-01,30,sw-ib-c2f15-23-01,30,0,
sw-ib-c2f14-12-01,31,sw-ib-c2f15-21-01,26,0,
sw-ib-c2f14-12-01,32,sw-ib-c2f15-21-01,28,0,
sw-ib-c2f14-12-01,33,sw-ib-c2f15-21-01,30,0,
sw-ib-c2f14-12-01,34,sw-ib-c2f15-19-01,26,0,
sw-ib-c2f14-12-01,35,sw-ib-c2f15-19-01,28,0,
sw-ib-c2f14-12-01,36,sw-ib-c2f15-19-01,30,0,
sw-ib-c2f14-42-01,1,ru-c2e15-18-01,,0,
sw-ib-c2f14-42-01,2,ru-c2e15-19-01,,0,
sw-ib-c2f14-42-01,3,ru-c2e15-22-01,,0,
sw-ib-c2f14-42-01,4,ru-c2e15-23-01,,0,
sw-ib-c2f14-42-01,5,ru-c2e15-24-01,,0,
sw-ib-c2f14-42-01,6,ru-c2e15-25-01,,0,
sw-ib-c2f14-42-01,7,ru-c2e15-26-01,,0,
sw-ib-c2f14-42-01,8,ru-c2e15-27-01,,0,
sw-ib-c2f14-42-01,9,bu-c2f16-41-01,,1, # missing network card
sw-ib-c2f14-42-01,10,bu-c2e18-37-01,,0,
sw-ib-c2f14-42-01,11,bu-c2d38-35-01,,0,
sw-ib-c2f14-42-01,12,bu-c2d41-35-01,,0,
sw-ib-c2f14-42-01,13,,,0,
sw-ib-c2f14-42-01,14,,,0,
sw-ib-c2f14-42-01,15,,,0,
sw-ib-c2f14-42-01,16,ru-c2e15-39-01,,1,cannot ssh
sw-ib-c2f14-42-01,17,,,0,
sw-ib-c2f14-42-01,18,,,0,
sw-ib-c2f14-42-01,19,sw-ib-c2f15-19-01,25,0,
sw-ib-c2f14-42-01,20,sw-ib-c2f15-19-01,27,0,
sw-ib-c2f14-42-01,21,sw-ib-c2f15-19-01,29,0,
sw-ib-c2f14-42-01,22,sw-ib-c2f15-21-01,25,0,
sw-ib-c2f14-42-01,23,sw-ib-c2f15-21-01,27,0,
sw-ib-c2f14-42-01,24,sw-ib-c2f15-21-01,29,0,
sw-ib-c2f14-42-01,25,sw-ib-c2f15-23-01,25,0,
sw-ib-c2f14-42-01,26,sw-ib-c2f15-23-01,27,0,
sw-ib-c2f14-42-01,27,sw-ib-c2f15-23-01,29,0,
sw-ib-c2f14-42-01,28,sw-ib-c2f15-25-01,25,0,
sw-ib-c2f14-42-01,29,sw-ib-c2f15-25-01,27,0,
sw-ib-c2f14-42-01,30,sw-ib-c2f15-25-01,29,0,
sw-ib-c2f14-42-01,31,sw-ib-c2f15-27-01,25,0,
sw-ib-c2f14-42-01,32,sw-ib-c2f15-27-01,27,0,
sw-ib-c2f14-42-01,33,sw-ib-c2f15-27-01,29,0,
sw-ib-c2f14-42-01,34,sw-ib-c2f15-29-01,25,0,
sw-ib-c2f14-42-01,35,sw-ib-c2f15-29-01,27,0,
sw-ib-c2f14-42-01,36,sw-ib-c2f15-29-01,29,0,
sw-ib-c2f14-10-01,1,ru-c2e13-10-01,,0,
sw-ib-c2f14-10-01,2,ru-c2e13-11-01,,0,
sw-ib-c2f14-10-01,3,ru-c2e13-12-01,,0,
sw-ib-c2f14-10-01,4,ru-c2e13-13-01,,0,
sw-ib-c2f14-10-01,5,ru-c2e13-14-01,,0,
sw-ib-c2f14-10-01,6,ru-c2e13-15-01,,0,
sw-ib-c2f14-10-01,7,ru-c2e13-16-01,,0,
sw-ib-c2f14-10-01,8,ru-c2e13-17-01,,0,
sw-ib-c2f14-10-01,9,bu-c2f16-17-01,,0,
sw-ib-c2f14-10-01,10,bu-c2e18-17-01,,0,
sw-ib-c2f14-10-01,11,bu-c2d38-13-01,,1,
sw-ib-c2f14-10-01,12,bu-c2d41-13-01,,0,
sw-ib-c2f14-10-01,13,bu-c2d41-21-01,,0,
sw-ib-c2f14-10-01,14,bu-c2d41-23-01,,0,
sw-ib-c2f14-10-01,15,,,0,
sw-ib-c2f14-10-01,16,,,0,
sw-ib-c2f14-10-01,17,,,0,
sw-ib-c2f14-10-01,18,,,0,
sw-ib-c2f14-10-01,19,sw-ib-c2f15-29-01,20,0,
sw-ib-c2f14-10-01,20,sw-ib-c2f15-29-01,22,0,
sw-ib-c2f14-10-01,21,sw-ib-c2f15-29-01,24,0,
sw-ib-c2f14-10-01,22,sw-ib-c2f15-27-01,20,0,
sw-ib-c2f14-10-01,23,sw-ib-c2f15-27-01,22,0,
sw-ib-c2f14-10-01,24,sw-ib-c2f15-27-01,24,0,
sw-ib-c2f14-10-01,25,sw-ib-c2f15-25-01,20,0,
sw-ib-c2f14-10-01,26,sw-ib-c2f15-25-01,22,0,
sw-ib-c2f14-10-01,27,sw-ib-c2f15-25-01,24,0,
sw-ib-c2f14-10-01,28,sw-ib-c2f15-23-01,20,0,
sw-ib-c2f14-10-01,29,sw-ib-c2f15-23-01,22,0,
sw-ib-c2f14-10-01,30,sw-ib-c2f15-23-01,24,0,
sw-ib-c2f14-10-01,31,sw-ib-c2f15-21-01,20,0,
sw-ib-c2f14-10-01,32,sw-ib-c2f15-21-01,22,0,
sw-ib-c2f14-10-01,33,sw-ib-c2f15-21-01,24,0,
sw-ib-c2f14-10-01,34,sw-ib-c2f15-19-01,20,0,
sw-ib-c2f14-10-01,35,sw-ib-c2f15-19-01,22,0,
sw-ib-c2f14-10-01,36,sw-ib-c2f15-19-01,24,0,
sw-ib-c2f14-40-01,1,ru-c2e15-10-01,,0,
sw-ib-c2f14-40-01,2,ru-c2e15-11-01,,0,
sw-ib-c2f14-40-01,3,ru-c2e15-12-01,,0,
sw-ib-c2f14-40-01,4,ru-c2e15-13-01,,0,
sw-ib-c2f14-40-01,5,ru-c2e15-14-01,,0,
sw-ib-c2f14-40-01,6,ru-c2e15-15-01,,0,
sw-ib-c2f14-40-01,7,ru-c2e15-16-01,,0,
sw-ib-c2f14-40-01,8,ru-c2e15-17-01,,0,
sw-ib-c2f14-40-01,9,bu-c2f16-35-01,,1, # missing network card
sw-ib-c2f14-40-01,10,bu-c2e18-35-01,,0,
sw-ib-c2f14-40-01,11,bu-c2d38-31-01,,0,
sw-ib-c2f14-40-01,12,bu-c2d41-31-01,,0,
sw-ib-c2f14-40-01,13,bu-c2d41-39-01,,0,
sw-ib-c2f14-40-01,14,bu-c2d41-41-01,,0,
sw-ib-c2f14-40-01,15,,,0,
sw-ib-c2f14-40-01,16,,,0,
sw-ib-c2f14-40-01,17,,,0,
sw-ib-c2f14-40-01,18,,,0,
sw-ib-c2f14-40-01,19,sw-ib-c2f15-19-01,19,0,
sw-ib-c2f14-40-01,20,sw-ib-c2f15-19-01,21,0,
sw-ib-c2f14-40-01,21,sw-ib-c2f15-19-01,23,0,
sw-ib-c2f14-40-01,22,sw-ib-c2f15-21-01,19,0,
sw-ib-c2f14-40-01,23,sw-ib-c2f15-21-01,21,0,
sw-ib-c2f14-40-01,24,sw-ib-c2f15-21-01,23,0,
sw-ib-c2f14-40-01,25,sw-ib-c2f15-23-01,19,0,
sw-ib-c2f14-40-01,26,sw-ib-c2f15-23-01,21,0,
sw-ib-c2f14-40-01,27,sw-ib-c2f15-23-01,23,0,
sw-ib-c2f14-40-01,28,sw-ib-c2f15-25-01,19,0,
sw-ib-c2f14-40-01,29,sw-ib-c2f15-25-01,21,0,
sw-ib-c2f14-40-01,30,sw-ib-c2f15-25-01,23,0,
sw-ib-c2f14-40-01,31,sw-ib-c2f15-27-01,19,0,
sw-ib-c2f14-40-01,32,sw-ib-c2f15-27-01,21,0,
sw-ib-c2f14-40-01,33,sw-ib-c2f15-27-01,23,0,
sw-ib-c2f14-40-01,34,sw-ib-c2f15-29-01,19,0,
sw-ib-c2f14-40-01,35,sw-ib-c2f15-29-01,21,0,
sw-ib-c2f14-40-01,36,sw-ib-c2f15-29-01,23,0,
sw-ib-c2f14-08-01,1,ru-c2e12-28-01,,0,
sw-ib-c2f14-08-01,2,ru-c2e12-29-01,,0,
sw-ib-c2f14-08-01,3,ru-c2e12-30-01,,0,
sw-ib-c2f14-08-01,4,ru-c2e12-34-01,,0,
sw-ib-c2f14-08-01,5,ru-c2e12-35-01,,0,
sw-ib-c2f14-08-01,6,,,0,
sw-ib-c2f14-08-01,7,,,0,
sw-ib-c2f14-08-01,8,,,0,
sw-ib-c2f14-08-01,9,bu-c2f16-13-01,,0,
sw-ib-c2f14-08-01,10,bu-c2e18-13-01,,0,
sw-ib-c2f14-08-01,11,bu-c2d38-11-01,,1,
sw-ib-c2f14-08-01,12,bu-c2d41-11-01,,0,
sw-ib-c2f14-08-01,13,bu-c2d38-21-01,,1,
sw-ib-c2f14-08-01,14,bu-c2d38-23-01,,1,
sw-ib-c2f14-08-01,15,,,0,
sw-ib-c2f14-08-01,16,,,0,
sw-ib-c2f14-08-01,17,,,0,
sw-ib-c2f14-08-01,18,,,0,
sw-ib-c2f14-08-01,19,sw-ib-c2f15-19-01,14,0,
sw-ib-c2f14-08-01,20,sw-ib-c2f15-19-01,16,0,
sw-ib-c2f14-08-01,21,sw-ib-c2f15-19-01,18,0,
sw-ib-c2f14-08-01,22,sw-ib-c2f15-21-01,14,0,
