sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 9,FEDs 228,252,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 10,FEDs 229,253,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 11,FEDs 230,254,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 12,FEDs 231,255,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 13,FEDs 232,256,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 14,FEDs 233,257,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 15,FEDs 234,258,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;TK TEC-,crate S1B11b,FEROL 16,FEDs 235,259,frlpc-s1d06-10-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 1,FED 628,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 2,FED 629,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 3,FED 630,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 4,FED 634,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 5,FED 635,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 6,FED 636,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 7,FED 631,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 8,FED 632,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;ECAL B+,crate S2C02b,FEROL 9,FED 633,frlpc-s2d10-02-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 1,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 2,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 3,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 4,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 5,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 6,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 7,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 8,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 9,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 10,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 11,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;TOTEM,crate S2B05c,FEROL 12,frlpc-s2d10-14-01
sw-eth-c2e23-23-01;DTTF/CSCTF,crate S1C01a,FEROL 1,FED 780,frlpc-s1d06-11-01
sw-eth-c2e23-23-01;DTTF/CSCTF,crate S1C01a,FEROL 2,FED 760,frlpc-s1d06-11-01
sw-eth-c2e23-23-01;DTTF/CSCTF,crate S1C01a,FEROL 3,FED -1,frlpc-s1d06-11-01
sw-eth-c2e23-23-01;ru-c2e12-13-01
sw-eth-c2e23-23-01;ru-c2e12-14-01
sw-eth-c2e23-23-01;ru-c2e12-15-01
sw-eth-c2e23-23-01;ru-c2e14-13-01
sw-eth-c2e23-23-01;ru-c2e14-14-01
sw-eth-c2e23-23-01;ru-c2e14-15-01
sw-eth-c2e23-26-01;Pix EC,crate S1G05b,FEROL 1,FED 32,frlpc-s1d06-31-01
sw-eth-c2e23-26-01;Pix EC,crate S1G05b,FEROL 2,FED 33,frlpc-s1d06-31-01
sw-eth-c2e23-26-01;Pix EC,crate S1G05b,FEROL 3,FED 34,frlpc-s1d06-31-01
sw-eth-c2e23-26-01;Pix EC,crate S1G05b,FEROL 4,FED 35,frlpc-s1d06-31-01
sw-eth-c2e23-26-01;Pix EC,crate S1G05b,FEROL 5,FED 36,frlpc-s1d06-31-01
